InvoiceId,ExtraInvoiceKey,InvoiceLineNumber,ExtraInvoiceLineKey,,AccountingDate,,Amount 1,AmountCurrency,Amount ,,,,,SupplierId,SupplierLocationId,RequesterId,AccountId,A,B,C,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10294158700/1660/2020,KR/Vendor invoice,2,1,,6/11/2020,,68.04,USD,68.04,,,,,3001114,1660,OTM,523711,1660,1660/CC,1660999091,Cost Center/1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3/25/2020,,SYD1342496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SYD1342496/5025/2020,KR/Vendor invoice,3,1,,3/25/2020,,347.34,AUD,347.34,,,,,3203675,5025,QO12585,500314,5025,5025/CC,5025999751,Cost Center/1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NWLIN00346538/1660/2019,KR/Vendor invoice,2,1,,2/4/2019,,500.94,USD,500.94,,,,,3002362,1660,TEMP,517310,1660,1660/CC,1660085501,Cost Center/1000,,,,,,,,,,,,"
NWLIN00346538/1660/2019""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NWLIN00346641/1780/2019,KR/Vendor invoice,2,1,,2/4/2019,,384.64,USD,384.64,,,,,3002362,1780,TEMP,517310,1780,1780/CC,1780003524,Cost Center/1000,,,,,,,,,,,,"
NWLIN00346641/1780/2019""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NWLIN00346537/1780/2019,KR/Vendor invoice,2,1,,2/4/2019,,508.46,USD,508.46,,,,,3060973,1780,TEMP,517310,1780,1780/CC,1780061502,Cost Center/1000,,,,,,,,,,,,"
NWLIN00346537/1780/2019""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NWLIN00346537/1780/2019,KR/Vendor invoice,4,1,,2/4/2019,,-6.8,USD,6.8,,,,,3060973,1780,TEMP,224110,1780,1780/CC,3000000,Profit Center/1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NWLIN00346540/1780/2019,KR/Vendor invoice,2,1,,2/4/2019,,323.76,USD,323.76,,,,,3002362,1780,TEMP,517310,1780,1780/CC,1780061504,Cost Center/1000,,,,,,,,,,,,"
NWLIN00346540/1780/2019""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NWLIN00346541/1080/2019,KR/Vendor invoice,2,1,,2/4/2019,,580.56,USD,580.56,,,,,3002362,1080,TEMP,517310,1080,1080/CC,108001350J,Cost Center/1000,,,,,,,,,,,,"
NWLIN00346541/1080/2019""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NWLIN00346543/1660/2019,KR/Vendor invoice,2,1,,2/4/2019,,713.1,USD,713.1,,,,,3002362,1660,TEMP,517310,1660,1660/CC,1660085501,Cost Center/1000,,,,,,,,,,,,"
NWLIN00346543/1660/2019""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NWLIN00346545/1660/2019,KR/Vendor invoice,2,1,,2/4/2019,,508.8,USD,508.8,,,,,3002362,1660,TEMP,517310,1660,1660/CC,166009156X,Cost Center/1000,,,,,,,,,,,,"
NWLIN00346545/1660/2019""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
